,ID,incidence,product_cat,product_cat1,product_cat2,brand_1,brand_2,brand_3,quant_1,quant_2,quant_3,total_quantity,item_price_1,item_price_2,item_price_3,total price,creation_hour,creation_week,creation_day,dest_long,dest_lat,zip_code,population_denisty,median_household_income,sex,distance,DOB_year,age,Settlement_size,Labels,Segment K-means PCA,creation_time
1204,P11180560,1,Concentrate,Concentrate,Vapes,,Origyn,Northeast Alternatives,1,1,1,3,60.0,60.0,55.0,175.00,14,10,3,-71.247051,42.399304,2451.0,3155.0,81334.0,1.0,16.582,1978.0,44.0,0.0,Standard,2.0,2021-03-10
1205,P11164127,1,Edibles,Edibles,No info,Wicked Sour,Mindy's Edibles,,1,3,0,4,50.0,105.0,0.0,155.00,14,10,4,-71.073164,42.370067,2141.0,18612.0,64326.0,1.0,1.6986,1992.0,30.0,0.0,Well-Off,1.0,2021-03-11
1206,p11059413,1,Flower,Flower,No info,Wicked Sour,Sira Naturals Reserve,Root 90,2,1,1,4,110.0,55.0,55.0,220.00,8,10,4,-71.088417,42.373061,2141.0,18612.0,64326.0,1.0,4.4556,1980.0,42.0,0.0,Well-Off,1.0,2021-03-11
1207,P11096783,1,Concentrate,Concentrate,Concentrate,Sira Naturals Prerolls,Origyn,Origyn,2,1,1,4,120.0,60.0,60.0,220.00,17,10,4,-71.0570428,42.3652381,2113.0,68665.0,66636.0,1.0,2.3878,1987.0,35.0,0.0,Well-Off,1.0,2021-03-11
1208,P11105697,1,Flower,Flower,No info,Sira Naturals,Nantucket Nuggets,,2,2,0,4,140.0,140.0,0.0,280.00,15,10,4,-71.0568168,42.3645227,2113.0,68665.0,66636.0,0.0,0.25169,1993.0,29.0,0.0,Well-Off,1.0,2021-03-11
1209,p11101822,1,Pre-rolls,Pre-rolls,Pre-rolls,Sira Naturals Prerolls,AMP,Sira Naturals Prerolls,2,2,2,6,30.0,30.0,30.0,165.00,17,10,4,-71.073229,42.338333,2118.0,24075.0,54152.0,1.0,5.9035,1959.0,63.0,1.0,Well-Off,1.0,2021-03-11
1210,P11069410,1,No info,No info,No info,Sira Naturals Reserve,Curaleaf,,6,2,0,8,330.0,110.0,0.0,440.00,11,10,4,-71.0583612,42.3156073,2125.0,15611.0,45130.0,1.0,5.4923,1959.0,63.0,1.0,Well-Off,1.0,2021-03-11
1211,P11179955,1,Edibles,Pre-rolls,Flower,Entourage,Mayflower (MA),Mayflower (MA),2,1,2,5,60.0,15.0,30.0,327.48,8,10,4,-71.050911,42.309547,2125.0,15611.0,45130.0,0.0,1.3111,1987.0,35.0,1.0,Well-Off,1.0,2021-03-11
1212,P11183498,1,No info,No info,No info,Jimmy's Choice,Patriot Care,,1,1,0,2,110.0,110.0,0.0,220.00,18,10,4,-71.105044,42.405026,2155.0,7072.0,73567.0,0.0,2.3773,1970.0,52.0,2.0,Well-Off,1.0,2021-03-11
1213,P11177894,1,Vapes,Edibles,Pre-rolls,Sira Naturals Reserve,Betty's Eddies,Sira Naturals,1,1,1,3,60.0,60.0,25.0,185.01,15,10,4,-71.066751,42.283617,2124.0,15913.0,48841.0,0.0,5.4854,1970.0,52.0,2.0,Well-Off,1.0,2021-03-11
1214,P11207737,1,Pre-rolls,Pre-rolls,Flower,Sira Naturals House Special,Curaleaf,Sira Naturals Top-Shelf,1,1,1,3,25.0,35.0,50.0,160.00,8,10,4,-71.109084,42.407197,2155.0,7072.0,73567.0,0.0,1.0239,1990.0,32.0,2.0,Well-Off,1.0,2021-03-11
